1,25969,04724,WIDENER UNIV SCHOOL OF LAW - DE,4601 CONCORD PIKE/PO BOX 7474,WILMINGTON,DE,19803
2,25970,06171,CENTER FOR ADVANCED STUDIES OF PUER,BOX S-4467,SAN JUAN,PR,00902
3,25971,06511,PENTECOSTAL THEOLOGICAL SEMINARY,PO BOX 3330,CLEVELAND,TN,37320
4,25972,07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,325 NORTH WELLS STREET,CHICAGO,IL,60610
5,25973,07624,NATIONAL COLLEGE OF NATURAL MEDICINE,049 SW PORTER,PORTLAND,OR,97201
6,25974,07625,OREGON COL OF ORIENTAL MEDICINE,10525 SE CHERRY BLOSSOM DR,PORTLAND,OR,97216
7,25975,08041,ALFRED ADLER GRADUATE SCHOOL,1001 WEST HIGHWAY 7  SUITE 344,HOPKINS,MN,55305
8,25976,08083,UNIV OF THE DIST OF COLU -SCHOOL OF LAW,4200 CONNECTICUT AVENUE NW,WASHINGTON,DC,20008
9,25977,42154,GRACE SCHOOL OF THEOLOGY,3705 COLLEGE PARK DR,CONROE,TX,77384
10,25978,00014,AMRCN REPERTORY THTR INST ADV THTR,64 BRATTLE STREET,CAMBRIDGE,MA,02138
11,25979,00058,BROWN UNIVERSITY - GRADUATE SCHOOL,8 FONES ALLEY,PROVIDENCE,RI,02912
12,25980,00059,BROWN MEDICAL SCHOOL,97 WATERMAN STREET  BOX G-A212,PROVIDENCE,RI,02912
13,25981,00073,CARNEGIE MELLON UNIV- THE HEINZ COLLEGE,5000 FORBES AVENUE,PITTSBURGH,PA,15213
14,25982,00074,CARNEGIE MELLON- TEPPER SCHOOL OF BUSINE,5000 FORBES AVENUE,PITTSBURGH,PA,15213
15,25983,00077,CASE WESTERN RESERVE UNIV - UG,10900 EUCLID AVENUE,CLEVELAND,OH,44106
16,25984,00078,CASE WESTERN RESERVE UNIV - DENTAL,10900 EUCLID AVE,CLEVELAND,OH,44106
17,25985,00079,CASE WESTERN RESERVE UNIV - MED,10900 EUCLID AVE T-303,CLEVELAND,OH,44106
18,25986,00080,CASE WESTERN RESERVE UNIV - WSOM,10900 EUCLID AVE,CLEVELAND,OH,44106
19,25987,00081,CASE WESTERN RESERVE UNIV - NURS UG,10900 EUCLID AVE,CLEVELAND,OH,44106
20,25988,00082,CASE WESTERN RESERVE UNIV - LAW,10900 EUCLID AVE,CLEVELAND,OH,44106
21,25989,00083,CASE WESTERN RESERVE UNIV -NURS GRD,10900 EUCLID AVE,CLEVELAND,OH,44106
22,25990,00084,CASE WESTERN RESERVE UNIV - MSASS,10900 EUCLID AVE,CLEVELAND,OH,44106
23,25991,00131,"CATHOLIC UNIV AMERICA, LAW SCHOOL",OFC FNCL AID  CARDINAL STATION,WASHINGTON,DC,20064
24,25992,00170,EARLHAM SCHOOL OF RELIGION,228 COLLEGE AVENUE,RICHMOND,IN,47374
25,25993,00171,EAST TENNESSEE STATE UNIV - MEDICINE,VA CAMPUS MAPLE AVENUE,JOHNSON CITY,TN,37614
26,25994,00177,ERSKINE THEOLOGICAL SEMINARY,PO BOX 668,DUE WEST,SC,29639
27,25995,00196,GEORGE WASHINGTON UNIV LAW SCHL,2000 H STREET NW,WASHINGTON,DC,20052
28,25996,00197,GEORGE WASHINGTON UNIV SCH MED,2300 I ST NW,WASHINGTON,DC,20052
29,25997,00209,HARVARD EXTENSION SCHOOL,51 BRATTLE STREET,CAMBRIDGE,MA,02138
30,25998,00210,HARVARD DIVINITY SCHOOL,14 DIVINITY AVE,CAMBRIDGE,MA,02138
31,25999,00212,HARVARD UNIV GRAD SCH DESIGN,48 QUINCY STR,CAMBRIDGE,MA,02138
32,26000,00213,HARVARD UNIV GRAD SCH ED,13 APPIAN WAY,CAMBRIDGE,MA,02138
33,26001,00214,HARVARD UNIV SCH PUBLIC HEALTH,708 HUNTINGTON AVE,BOSTON,MA,02115
34,26002,00215,HARVARD KENNEDY SCHOOL,124 MT AUBURN ST,CAMBRIDGE,MA,02138
35,26003,00233,JOHNS HOPKINS UNIV PEABODY CONSERV,1 MT. VERNON PLACE,BALTIMORE,MD,21202
36,26004,00234,JOHNS HOPKINS BLOOMBERG SCH OF PH,615 N. WOLFE  STREET,BALTIMORE,MD,21205
37,26005,00235,JOHNS HOPKINS UNIV SCH OF MEDICINE,733 N. BROADWAY - SUITE 137,BALTIMORE,MD,21205
38,26006,00254,LMU  - LOYOLA LAW SCHOOL,919 SOUTH ALBANY STREET,LOS ANGELES,CA,90015
39,26007,00266,MAYO GRAD SCHOOL,STUDENT FINANCIAL AID OFFICE B,ROCHESTER,MN,55901
40,26008,00277,MORAVIAN THEOLOGICAL SEMINARY,1200 MAIN STREET,BETHLEHEM,PA,18018
41,26009,00306,OHIO UNIV COLL OF OSTEOPATHIC MED,014 GROSVENOR HALL,ATHENS,OH,45701
42,26010,00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,559 NATHAN ABBOTT WAY,STANFORD,CA,94305
43,26011,00342,STETSON UNIVERSITY - COLLEGE OF LAW,1401 61ST STREET SOUTH,SAINT PETERSBURG,FL,33707
44,26012,00362,TUFTS UNIVERSITY - CUMMINGS SCHOOL OF VE,200 WESTBORO ROAD,NORTH GRAFTON,MA,01536
45,26013,00374,UNIV OF CALIFORNIA LOS ANG SCH MED,FIN AID OFFICE  12-109 CHS,LOS ANGELES,CA,90095
46,26014,00375,UNIV OF CALIFORNIA LOS ANG DENTAL,A3042 DENTAL BLDG,LOS ANGELES,CA,90095
47,26015,00377,UNIVERSITY OF CHICAGO GRADUATE,"970 EAST 58TH STREET, RM 411",CHICAGO,IL,60637
48,26016,00385,UNIVERSITY OF CINCINNATI - MEDICINE,231 BETHESDA AVENUE,CINCINNATI,OH,45267
49,26017,00387,UNIV OF CONNECTICUT SCH LAW,55 ELIZABETH ST,HARTFORD,CT,06105
50,26018,00392,UNIV OF DETROIT MERCY - LAW SCHOOL,651 E. JEFFERSON,DETROIT,MI,48226
51,26019,00398,UNIVERSITY OF MICHIGAN-MEDICAL SCH,1301 CATHERINE C5124 MED SCI-I,ANN ARBOR,MI,48109
52,26020,00428,VILLANOVA UNIV SCH OF LAW,299 N. SPRING MILL RD GAREY HL,VILLANOVA,PA,19085
53,26021,00429,WAKE FOREST UNIV - GRAD A&S/DIVINITY,PO BOX 7246,WINSTON-SALEM,NC,27109
54,26022,00435,WAYNE STATE UNIVERSITY - LAW SCHOOL,"468 W. FERRY, ROOM 191",DETROIT,MI,48202
55,26023,00461,BAKER COLLEGE OF CADILLAC,9600 E 13TH STREET,CADILLAC,MI,49601
56,26024,00462,BAKER COLLEGE OF CLINTON TOWNSHIP,34950 LITTLE MACK,CLINTON TOWNSHIP,MI,48035
57,26025,00463,BAKER COLLEGE OF MUSKEGON,1903 MARQUETTE,MUSKEGON,MI,49442
58,26026,00464,BAKER COLLEGE OF OWOSSO,1020 S. WASHINGTON,OWOSSO,MI,48867
59,26027,00465,BAKER COLLEGE OF PORT HURON,3403 LAPEER ROAD,PORT HURON,MI,48060
60,26028,00466,BAKER COLLEGE OF AUBURN HILLS,1500 UNIVERSITY DRIVE,AUBURN HILLS,MI,48326
61,26029,00468,HARVARD UNIVERSITY-HARVARD COLLEGE,86 BRATTLE STREET,CAMBRIDGE,MA,02138
62,26030,00470,HARVARD UNIV GRAD S OF ARTS & SCIEN,1350 MASSACHUSETTS AVE,CAMBRIDGE,MA,02138
63,26031,00471,HARVARD LAW SCHOOL,1563 MASS AVE,CAMBRIDGE,MA,02138
64,26032,00472,HARVARD UNIV MEDICAL SCHOOL,25 SHATTUCK ST,BOSTON,MA,02115
65,26033,00473,JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,3400 N. CHARLES ST,BALTIMORE,MD,21218
